Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
1;Precious Achiuwa;C;23;TOR;6;0;23.2;3;8.5;0.353;0.7;2.8;0.235;2.3;5.7;0.412;0.392;1.5;2.2;0.692;2.2;6.7;8.8;1.3;0;0.3;1.3;1.7;8.2
2;Steven Adams;C;29;MEM;5;5;28.6;2.8;4.6;0.609;0;0;0;2.8;4.6;0.609;0.609;0.8;3.4;0.235;4;6.2;10.2;2.4;0.6;1.6;1.6;2.6;6.4
3;Bam Adebayo;C;25;MIA;6;6;34.7;6.2;11.7;0.529;0;0.3;0;6.2;11.3;0.544;0.529;4.2;5;0.833;2.5;5.8;8.3;2.5;1.3;1;4;2.8;16.5
4;Ochai Agbaji;SG;22;UTA;2;0;10;2;3.5;0.571;0;1.5;0;2;2;1;0.571;0.5;1;0.5;0;0.5;0.5;0;0;0;0;1;4.5
5;Santi Aldama;PF;22;MEM;5;5;30.6;4;8.6;0.465;1.2;4.4;0.273;2.8;4.2;0.667;0.535;1.8;2.4;0.75;2;4.4;6.4;1;1;1.4;0.6;2.4;11
6;Nickeil Alexander-Walker;SG;24;UTA;3;0;5;1;2.3;0.429;0.3;1;0.333;0.7;1.3;0.5;0.5;0.7;0.7;1;0;0;0;2;0.3;0.3;0;0.3;3
7;Grayson Allen;SG;27;MIL;4;4;29.3;3.3;9.8;0.333;2.3;6.3;0.36;1;3.5;0.286;0.449;2.5;3;0.833;0.8;3.5;4.3;3;0.5;0;1.3;1.3;11.3
8;Jarrett Allen;C;24;CLE;5;5;33.8;5.4;9.4;0.574;0;0.2;0;5.4;9.2;0.587;0.574;2.4;3.4;0.706;4.8;6.6;11.4;1.6;0.2;1.2;0.8;2.6;13.2
9;Jose Alvarado;PG;24;NOP;5;2;22;3.6;7.2;0.5;1.6;3.6;0.444;2;3.6;0.556;0.611;0.6;0.8;0.75;0;2.2;2.2;2.6;1;0.2;2;1.6;9.4
10;Kyle Anderson;PF;29;MIN;2;0;11.5;0;1;0;0;0.5;0;0;0.5;0;0;1;1;1;1;2;3;0.5;0.5;0.5;1;0;1
11;Giannis Antetokounmpo;PF;28;MIL;4;4;35.3;13.3;21;0.631;1.3;4;0.313;12;17;0.706;0.661;6.8;10.8;0.628;1;12.3;13.3;6.3;0.8;1.8;3.5;2.5;34.5
12;Thanasis Antetokounmpo;SF;30;MIL;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Cole Anthony;PG;22;ORL;4;3;30.5;5.5;13.3;0.415;1.8;5;0.35;3.8;8.3;0.455;0.481;2.8;3.8;0.733;0.8;4;4.8;4.3;0.8;0.8;2;3.5;15.5
14;OG Anunoby;SF;25;TOR;6;6;36.2;4.7;10.8;0.431;1.8;4.7;0.393;2.8;6.2;0.459;0.515;2.3;3;0.778;1;5.5;6.5;1.5;2;0.8;2;3.7;13.5
15;Ryan Arcidiacono;PG;28;NYK;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
